Date,ppt (inches),tmean (degrees F),tdmean (degrees F),vpdmax (hPa)
2013-10,0.02,69.4,25.9,34.06
2013-11,0.81,61.3,30.2,21.9
2013-12,0,51.9,20.8,16.19
2014-01,0,57.5,13.3,21.98
2014-02,0.03,61.3,21.3,24.67
2014-03,0.29,65.9,20.5,28.75
2014-04,0.05,71.4,18.9,36.83
2014-05,0,79.4,21.4,48.27
2014-06,0,89.8,23.6,65.49
2014-07,0.78,94.1,48,64.94
2014-08,1.86,89.2,51.4,52.95
2014-09,1.33,87,49.9,49.41
2014-10,0.18,76.7,35.7,38.75
2014-11,0,63.2,23.1,25.09
2014-12,0.78,54.7,33.4,13.19
2015-01,1.04,55.5,30,15.33
2015-02,0.21,63,29.3,24.95
2015-03,1.43,68.1,28.9,31.1
2015-04,0.18,70.2,20.6,34.79
2015-05,0.21,74.5,32.3,37.82
2015-06,0.12,91.1,35.3,66.08
2015-07,0.9,91.3,46.8,58.51
2015-08,0.33,94.7,50.4,66.09
2015-09,0,89.3,49.2,53.42
2015-10,0.96,77.4,45.2,35.62
2015-11,0.06,59.5,23.7,21.7
2015-12,0.14,51,19.7,14.84
2016-01,1.26,52.1,27.4,13.45
2016-02,0.19,61.7,21,26.17
2016-03,0.05,66.7,21.2,31.05
2016-04,0.71,70.4,27.1,32.99
2016-05,0.15,76.4,32,40.18
2016-06,0,93.2,34.3,70.05
2016-07,0.24,96,44.4,70.01
2016-08,1.69,91.7,52.4,58.93
2016-09,0.35,84.1,40.1,48.37
2016-10,0.2,77.6,35.6,39.79
2016-11,0.17,65,29,25.95
2016-12,1.88,53.3,25.9,14.2
2017-01,1.36,52.1,32.2,11.1
2017-02,1.2,59.6,34.3,17.34
2017-03,0.19,67.3,28.9,31.18
2017-04,0,71.5,22.8,36.37
2017-05,0.28,77.4,26.5,45.47
2017-06,0,91.6,27.9,71.86
2017-07,0.06,96.3,49.9,67.02
2017-08,0.4,93.6,48.1,63.09
2017-09,0.81,84.5,42.6,48.48
2017-10,0,76,22.3,41.95
2017-11,0,66.9,28.7,26.47
2017-12,0,57.1,11.8,20.2
2018-01,0.56,58.5,23.1,19.82
2018-02,0.07,57.3,19.5,20.89
2018-03,0.42,62.2,23.5,24.04
2018-04,0,74.8,18.9,41.7
2018-05,0,79.8,26.5,47.72
2018-06,0,90.2,27.4,67.14
2018-07,0.84,95.7,50.8,64.66
2018-08,0.31,94.8,52.8,62.39
2018-09,0,90.2,40.6,61.24
2018-10,1.2,73,41.5,28.92
2018-11,0.02,62.2,19.2,24.37
2018-12,0.39,54,25.4,15.06
2019-01,1.54,53,28.1,13.4
2019-02,1.56,50.9,28,13.02
2019-03,0.71,61.6,29.7,22.34
2019-04,0.28,72.7,29.5,36.53
2019-05,0.3,73,33.4,34.96
2019-06,0,88.1,30,61.24
2019-07,0,94.9,39.8,70.2
2019-08,0.05,94.8,44.4,70.83
2019-09,0.47,85.4,44.8,52.63
2019-10,0,70.6,19.8,36.98
2019-11,2.07,62.7,23.6,25.02
2019-12,0.91,51.9,33.7,10.67
2020-01,0.02,54,27.6,16.19
2020-02,0.7,56.4,22,19.85
2020-03,2.86,60.1,36.5,18.06
2020-04,0.21,70,32.4,33.26
2020-05,0,82.5,27.8,53.84
2020-06,0,87.9,29.7,62.99
2020-07,0,95.7,37.5,75.91
2020-08,0.01,97.6,44.3,78.71
2020-09,0,89.4,35,65.5
2020-10,0,78.5,22.3,49.64
2020-11,0,63.5,22.3,27.44
2020-12,0.04,54,13.9,18.19
2021-01,0.43,53.7,25.1,15.97
2021-02,0.02,57.9,20.1,21.23
2021-03,0.11,59.7,21.5,23.19
2021-04,0.04,73.6,23.4,39.47
2021-05,0,80.3,23.1,50.04
2021-06,0.13,93.4,38.2,72.29
2021-07,0.79,96.1,56.5,62.79
2021-08,0.22,93.7,52.9,63.4
2021-09,0.12,88.5,46.4,55.67
2021-10,0.17,71.4,33.8,31.73
2021-11,0,67.5,26.1,29.96
2021-12,0.52,54.9,28.5,16.26
2022-01,0.11,54.9,21,17.7
2022-02,0.02,57,14.4,21.67
2022-03,0.12,64.7,18.5,29.34
2022-04,0,72.6,20.1,38.4
2022-05,0,80.3,22.7,49.99
2022-06,0.06,91.2,39.7,63.57
2022-07,0.91,94.8,50.3,65.88
2022-08,1.64,91.7,63,52.77
2022-09,0.74,89.5,52.6,52.78
2022-10,0.43,75.8,40.3,36.35
2022-11,0.74,57.3,22.9,19.22
2022-12,0.47,53,30.8,13.84
2023-01,0.93,51.3,33.3,11.6
2023-02,0.54,53.3,22.3,16.71
2023-03,0.92,57.4,31.7,17.26