sample,C_percent,N_percent,C/N,N_isotope_raw,C_isotope_raw,WUE,precision
1,38.1,4.2,9,8.1,-29.5,22.15352911,NA
2,41,4,10.2,14.8,-29.2,21.83765966,NA
3,38.8,4.7,8.3,5.2,-29.9,22.57499227,NA
4,39.3,4.2,9.4,6.7,-29.3,21.94292778,NA
5,39.4,4.3,9.2,5.8,-29.2,21.83765966,NA
6,38,4.1,9.4,6.4,-29.3,21.94292778,NA
7,39.8,3.5,11.2,5.7,-29.1,21.73241322,NA
8,38.6,4.9,7.9,4.8,-30.5,23.20783909,NA
9,38.4,3.4,11.2,5.1,-29.9,22.57499227,NA
10,39.8,4.9,8.1,7.8,-30.1,22.78585421,NA
11,38.7,3.8,10.1,5.2,-30.6,23.31338973,NA
12,39.1,2.7,14.6,6.1,-29.7,22.36421725,NA
13,38.1,3.6,10.7,21,-28.6,21.20650607,NA
14,38,3.3,11.5,3.5,-28.8,21.41680395,NA
15,38.7,3.6,10.8,36.5,-27.9,20.47114494,NA
16,37.9,4.2,9.1,1.2,-29.3,21.94292778,NA
17,37.6,3.3,11.3,4.8,-29.2,21.83765966,NA
18,38.4,2.3,16.8,4.2,-29.8,22.4695939,NA
19,29.1,2.2,13.2,3,-28.7,21.31164419,NA
20,36.5,2.9,12.6,3.2,-29.6,22.25886232,NA
21,35.2,2.6,13.5,5.6,-29.4,22.0482176,NA
22,37.9,3.5,10.9,3.5,-29.1,21.73241322,NA
23,37.2,3.2,11.7,4.7,-29.3,21.94292778,NA
24,37,4.4,8.4,10.4,-30.3,22.99680313,NA
25,37.3,4.4,8.4,5.9,-30.7,23.41896214,NA
26,37,4.3,8.7,8.5,-30.4,23.10231023,NA
27,37.7,3.1,12,7.7,-30.8,23.52455634,NA
28,36.8,3.1,11.7,7.5,-30.9,23.63017232,NA
29,40.3,4.5,9,8.2,-31.2,23.94715111,NA
30,38.6,4.2,9.1,5.2,-30,22.68041237,NA
31,36.4,3.5,10.4,8.6,-29.9,22.57499227,NA
32,38.4,4.7,8.1,8.3,-31.3,24.05285434,NA
33,37.6,3,12.6,14.6,-30.2,22.8913178,NA
34,39.3,3.5,11.4,5,-30.2,22.8913178,NA
35,36.8,2,18,3.8,-29.6,22.25886232,0.25
36,38.1,3.1,12.3,6.3,-30.5,23.20783909,NA
37,39.3,3,12.9,3,-29.4,22.0482176,NA
38,38.6,2.8,13.8,4.5,-30.7,23.41896214,NA
39,39.4,3.3,11.9,3.6,-30.7,23.41896214,NA
40,36.7,3.3,11.1,2.6,-30.4,23.10231023,NA
41,35.9,2.3,15.4,3.7,-29.8,22.4695939,0.25
42,33.5,2.8,12.2,4.5,-30.3,22.99680313,NA
43,37.2,2.4,15.8,14.7,-30.4,23.10231023,NA
44,38.2,3.1,12.4,2.3,-29.9,22.57499227,NA
45,38.1,4.1,9.3,3.4,-28,20.57613169,NA
46,37.2,2.6,14.5,4.7,-28.9,21.52198538,NA
47,37.3,4.3,8.7,3.7,-29.1,21.73241322,NA
48,37.8,3.6,10.6,2.7,-30,22.68041237,NA
49,37.7,3,12.7,0.4,-30,22.68041237,NA
50,40,3.9,10.4,0.6,-27.9,20.47114494,NA
51,39.5,3.6,11,3.2,-29.6,22.25886232,NA
52,39.3,3.3,11.8,3.1,-29.2,21.83765966,NA
53,38.5,2.7,14.3,3.2,-29.3,21.94292778,NA
54,37.9,5.1,7.5,3.5,-29.3,21.94292778,NA
55,39.1,5.2,7.5,4,-29.6,22.25886232,NA
56,37.4,2.9,13,2.3,-29.9,22.57499227,NA
57,39.2,4.3,9.1,8.2,-28.4,20.99629477,NA
58,38.8,4.4,8.8,5.6,-28.6,21.20650607,NA
59,40.9,3.6,11.3,3.9,-28.6,21.20650607,NA
60,38.8,4.1,9.4,5.5,-28.1,20.68114003,NA
61,39.2,2.8,14.2,4.2,-28.7,21.31164419,NA
62,40,3.4,11.7,5.1,-28.1,20.68114003,NA
63,39.1,3.1,12.5,4.5,-28.2,20.78616999,NA
64,33.9,2.8,12.1,4.7,-28.7,21.31164419,NA
65,30.5,3,10,6.1,-28.1,20.68114003,NA
66,38.3,3.2,12,5.9,-27.3,19.8416778,NA
67,38.1,2.6,14.7,-0.6,-28.7,21.31164419,NA
68,37.1,2.3,16.3,5,-29.7,22.36421725,0.25
69,37,3.7,10,2.7,-29.4,22.0482176,NA
70,35.8,3.2,11.1,4.7,-28.6,21.20650607,NA
71,37,3.8,9.8,3.7,-29.2,21.83765966,NA
72,36.8,3.9,9.3,4.1,-28.9,21.52198538,NA
73,36.7,3.9,9.5,3.9,-27.9,20.47114494,NA
74,37.3,3.4,11.1,3.8,-28.7,21.31164419,NA
75,37.6,3.9,9.6,6.8,-28.7,21.31164419,NA
76,38.6,4.1,9.4,6,-28.8,21.41680395,NA
77,36.7,3.9,9.5,6.4,-29.8,22.4695939,NA
78,39,3,13.2,6.2,-29.1,21.73241322,NA
79,34.4,2.3,15,2.4,-29.1,21.73241322,0.25
80,34.7,1.3,27.1,0.8,-30,22.68041237,0.25
81,33.5,2.4,14.1,3.3,-27.2,19.73684211,NA
82,30.9,1.3,24.3,3.3,-29.2,21.83765966,0.25
83,33.1,3,10.9,-0.4,-27.5,20.05141388,NA
84,30,1.6,19.1,2.3,-27.8,20.3661798,0.25
85,34.4,3.1,11.2,3.3,-28.9,21.52198538,NA
86,34.9,1.8,19.3,1.5,-27.6,20.15631427,0.25
87,34,2.2,15.2,4,-28.3,20.89122157,NA
88,34,3.5,9.7,2.3,-28.9,21.52198538,NA
89,34.4,2.8,12.3,2.1,-28.5,21.1013896,NA
90,33.4,2.6,12.7,4.1,-29.2,21.83765966,NA
91,35.9,1.5,24.6,9.8,-29,21.62718847,0.25
92,32.3,2.1,15.6,5.2,-29,21.62718847,NA
93,32.5,1.9,17.5,10.3,-29.7,22.36421725,0.25
94,32.8,2.6,12.5,5.7,-26.2,18.68966934,NA
95,37.1,2.1,17.6,18.5,-28.9,21.52198538,0.25
96,34.9,1.9,18.4,5.3,-28,20.57613169,0.25
97,34.8,2.9,11.9,8,-28.7,21.31164419,NA
98,34.6,2.5,14.1,2.2,-29.4,22.0482176,NA
99,36.2,3.1,11.6,6,-26.1,18.58507034,NA
100,41.7,3.5,11.9,8.2,-26.1,18.58507034,NA
101,35.5,2.5,14,8.5,-27.7,20.26123624,NA
102,37.1,3.3,11.1,20.6,-27.9,20.47114494,NA
103,36.2,3.8,9.6,17.8,-28.3,20.89122157,NA
104,37.7,3.2,12,7.1,-30,22.68041237,NA
105,36.5,2.4,15.3,3.1,-29.6,22.25886232,NA
106,36.2,2.8,13.2,2.5,-28.6,21.20650607,NA
107,36.5,3.3,10.9,3.2,-31.2,23.94715111,NA
108,36.8,3.3,11.2,4.4,-29.5,22.15352911,NA
109,37.1,3.4,10.8,8.4,-29.9,22.57499227,NA
110,37.1,2.9,12.9,7.5,-29.9,22.57499227,NA
111,35.9,1.7,20.8,9,-30.5,23.20783909,NA
112,37,3.9,9.6,8.8,-28.2,20.78616999,NA
113,35.3,2.3,15.1,7,-28.8,21.41680395,NA
114,38.1,4.1,9.3,3.9,-29.3,21.94292778,NA
115,35.8,3.5,10.3,3.5,-29.8,22.4695939,NA
116,20.1,1.5,13.5,7.3,-28.4,20.99629477,NA
117,34,2.6,13,5.9,-28.6,21.20650607,NA
118,34.9,1.6,21.7,3.3,-29.5,22.15352911,NA
119,38.6,3.9,9.9,2.1,-28.5,21.1013896,NA
120,37.3,2.3,16.1,2.2,-27.9,20.47114494,NA
121,36.2,3.1,11.7,2.7,-28.1,20.68114003,NA
122,35.8,2.7,13.1,3.7,-28.7,21.31164419,NA
123,36.7,1.9,19,4.5,-29.4,22.0482176,NA
124,36,3.4,10.7,4.2,-30.1,22.78585421,NA
125,36.5,3.6,10.2,2.4,-29.4,22.0482176,NA