id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
5563862,ARIZ,,,PreservedSpecimen,urn:uuid:b1969e08-b570-4b97-9003-9dcbf5f5e5e1,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,F. Shreve,4/19/35,,,,,,F. Shreve,,7358,4/19/35,,1935,4,19,109,,"April,19,1935",,,,,,,,,,herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=7e8617fc-3a7c-47a0-b5e1-c07468cb95f9,,,,,,,,,,,,,,,,United States,Arizona,Pima County,,15 mi SW of Tucson,,,,32.067609,-111.107783,,,,,,,,,,,,,,,,,,11/7/13 11:43,45760,2,8e8362ff-ffcb-42b9-8cef-e37259c2829a,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563862
739128,ASU,Plants,,PreservedSpecimen,d841b110-83aa-42c7-870e-57d5a232817a,,10381,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,"Barbara Veno, 1977",,,,,,,W. G. McGinnies,,,3/23/41,,1941,3,23,82,,,,,,,,,,,,,,,flowers & fruit,,0,,,,,,,,,,,USA,Arizona,Pima County,,Tumamoc Hill; west of Tucson,,0,,32.21278,-111.00556,,1000,,egbot,,georef batch tool 2012-04-02,reviewed - high confidence,,790,920,,,,,,,roisan,7/16/23 7:02,116975,1,d841b110-83aa-42c7-870e-57d5a232817a,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=739128
739138,ASU,Plants,,PreservedSpecimen,efaad29f-1f54-436b-bdad-07ef4644601b,,10297,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,"Barbara Veno, 1977",,,,,,,W. G. McGinnies,,,4/6/41,,1941,4,6,96,,,,,,,,,,,,,,,flowers & fruit,,0,,,,,,,,,,,USA,Arizona,Pima County,,Tumamoc Hill; west of Tucson,,0,,32.21278,-111.00556,,1000,,egbot,,georef batch tool 2012-04-02,reviewed - high confidence,,790,920,,,,,,,roisan,7/16/23 7:02,116995,1,efaad29f-1f54-436b-bdad-07ef4644601b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=739138
739183,ASU,Plants,,PreservedSpecimen,326ad8e3-638b-41c9-b41a-88ff24a0216f,,10221,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,"Barbara Veno, 1977",,,,,,,William G. McGinnies,,,2/24/41,,1941,2,24,55,,,,,,,,,,,,,,,flowers & fruit,,0,,,,,,,,,,,USA,Arizona,Pima County,,Tumamoc Hill; west of Tucson,,0,,32.21278,-111.00556,,1000,,egbot,,georef batch tool 2012-04-02,reviewed - high confidence,,790,920,,,,,,,roisan,7/16/23 7:02,117086,1,326ad8e3-638b-41c9-b41a-88ff24a0216f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=739183
1943666,MNA,,,PreservedSpecimen,c26cd207-38a4-4f25-816f-db8b673853a4,B.31146,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,"Hammond, H. D.",2000,,,,,,"Phillips, A.M. III","Phillips, B.G.",78-90,2/28/78,,1978,2,28,59,,,,,,,,,,,,herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=urn:uuid:a2b63582-d107-425f-90d6-c2c21b5ea8d6,,,flowering,,0,,,,,,,,,,,USA,Arizona,Pima County,,"Tumamoc Hill, west side of Tucson, near University of Arizona Geochronology Labs",,0,,32.212854,-111.006204,WGS84,1807,,ko226,,GeoLocate,verified w/ reasonable certainty,,823,,,,,~2700 feet,,,,7/16/23 7:02,31146,103,c26cd207-38a4-4f25-816f-db8b673853a4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1943666
6086881,SJNM,,,PreservedSpecimen,99fbb30b-a610-11e3-a341-00ff10703b0e,SJNM-V-0020367,50911,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,"Porter, J. Mark",,,,,,,"Porter, J. Mark",,5305,3/10/88,,1988,3,10,70,,,,Sonoran Desert Scrub,Bajada and gravelly flats.,Annual up to 21 cm tall; corolla white,,,,,,,,"Larrea tridentata, saguaro, paloverde, Ambrosia, Opuntia, Cylindropuntia",,,,,,,,Unspecified - 1,,,,,,United States,Arizona,Pima,,Tucson. Tunamoc Hill. W side of hill .; 32.213 -111.009,,0,,32.213,-111.009,,1000,,K. Heil,,Google Earth Pro,Verified,Georeferenced using locality data.,828,,,,,2715ft.,,,,8/20/23 4:16,99fbb30b-a610-11e3-a341-00ff10703b0e,104,878c4e02-bc92-4aca-9db7-a4cfae3494f5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6086881
367108,UCR,,,PreservedSpecimen,UCR-BPS-32744,,UCR-32744,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,Robert Perrill,,5304,2/27/83,,1983,2,27,58,,2/27/83,In sandy soil near small wash.,"Gentle southwest-facing slope; with Cercidium microphyllum, Ambrosia deltoidea and Carnegiea gigantea.",,,,,,,,,,,Flowering & Fruiting,,,,,,,,,,,,,United States,Arizona,Pima,,just west of McCain Loop and south of Kinney Road; Tucson Mountain Park west of Tucson,,0,,32.21461,-111.14128,,,,,,BCGeoReferenced,,,793,,,,,,,,,9/7/24 22:03,1512115,9,ffb0bf05-b0ee-434f-81f1-e9564e3d9abe,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=367108
5563907,ARIZ,,,PreservedSpecimen,urn:uuid:0da480bd-ac85-4cb7-9fd1-11b0c466c40e,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,J.E. Bowers,12/1/83,,,,,,J. E. Bowers,,2233-2564-etc.,1983-00-00,,1983,0,0,,,"8(2),18,19,2,1983","Collector numbers 2233, 2283, 2434, 2463, 2518, 2559, 2530, 2564,","Spalding-Shreve permanent plots VII, XII, ''Area B'', XV, XVI, XVII, IV, IX, Tumamoc Hill; 32.2^N, 111.0^W; elevation 2390 to 2640 feet.",,,,,,,,,,,Fruiting,,,,,,,,,,,,,United States,Arizona,Pima County,,Tumamoc Hill,,,,32.2142,-111.0126,,,,,,,,,766,,,,,2515 ft.,,,,6/23/17 13:47,45810,2,445e4f0f-7c1b-47a1-a4f4-98fce8d4059c,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563907
3244824,ARIZ,,,PreservedSpecimen,urn:uuid:cc6c05ce-8a5a-4208-993f-1e11a1676dcf,405415,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,2/25/69,,,,,,BF,,,2/25/69,,1969,3,25,56,,"February,25,1969",,,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima County,,Tumamoc Hill,,,,32.215425,-111.005,,,,,,,,,,,,,,,,,Justine,6/23/17 16:35,307918,2,23acd29d-934f-428e-aa09-1152bb634e34,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3244824
3244538,ARIZ,,,PreservedSpecimen,urn:uuid:24c78c63-e880-4ad0-815d-077e94ca1f56,405449,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,4/8/70,,,,,,B. Fink,,,4/8/70,,1970,4,8,98,,"April,8,1970",,,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima County,,Tumamoc Hill,,,,32.215425,-111.002956,,,"32° 12' 55.53"" N 111° 00' 10.64"" W",,,,,,,,,,,,,,Justine,9/14/15 13:37,307632,2,1c58dcf8-00fd-470e-b184-9b8d0d29a1d2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3244538
4559887,ARIZ,,,PreservedSpecimen,urn:uuid:38692959-a893-4cae-abcc-debabfeedb49,418321,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,Jennifer E. Johnson,,20141,4/16/14,,2014,4,16,106,,4/16/14,Collected as voucher for leaf wax D/H research project.,Growing in shaded area beneath Larrea tridentatas on north-facing slope w/ full exposure,,Two individuals,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima County,,"Tumamoc Hill, northwest slope",,,,32.215688,-111.007018,,,,,,,,,912,,,,,,,,fragosok,7/29/15 11:54,324052,2,2fb64efb-0734-4080-bac7-7814a4e13edc,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4559887
3244837,ARIZ,,,PreservedSpecimen,urn:uuid:67de0e56-5616-4263-99a8-fd62f7f4ed61,405404,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,3/11/69,,,,,,B. Fink,,,3/11/69,,1969,3,11,70,,"March,11,1969",,,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima County,,Tumamoc Hill,,,,32.215425,-111.002956,,,"32° 12' 55.53"" N 111° 00' 10.64"" W",,,,,,,,,,,,,,Justine,9/14/15 13:26,307931,2,8425861d-6783-4d7a-9101-f1e42f6be6e7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3244837
5563867,ARIZ,,,PreservedSpecimen,urn:uuid:247a7085-268d-4b42-8fc0-76aab664511c,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,S.P. McLaughlin,3/13/74,,,,,,S. P. McLaughlin,R. McManus,109,3/13/74,,1974,3,13,72,,"March,13,1974",,,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima County,,"University of Arizona Campbell Avenue Farms, Tucson",,,,32.225,-110.95,,,,,,,,,,,,,,,,,,11/7/13 11:43,45765,2,8049507e-ce9f-4ca4-9ff4-26f54e5e4d29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563867
5563911,ARIZ,,,PreservedSpecimen,urn:uuid:a594aac1-ff43-4216-ac1d-4263cba29ab3,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,J.J. Thornber,12/1/06,,,,,,J. J. Thornber,,5488,1906-03-00,,1906,3,0,,,"28 February ; 1,1906",SYN:Pectocarya penicillata M.& A.,,,,,,,,,,,,Fruiting,,,,,,,,,,,,,United States,Arizona,Pima County,,Tucson Mountains,,,,32.2301,-111.0982,,10000,,,,,,,792,,,,,2600 ft.,,,,11/7/13 11:43,45815,2,824a9b53-eb3b-4943-9603-97201d1f7264,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563911
5563913,ARIZ,,,PreservedSpecimen,urn:uuid:52a779fd-c2d6-48d6-a74c-66e541637213,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,J.J. Thornber,7/14/06,,,,,,J. J. Thornber,,s.n.,7/14/06,,1906,7,14,195,,"July,14,1906",,,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima County,,"Tucson Mountains, Tucson",,,,32.2301,-111.0982,,10000,,,,,,,792,,,,,2600 ft.,,,,11/7/13 11:43,45818,2,697466dd-280a-4557-90bc-a823547ccfeb,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563913
5563928,ARIZ,,,PreservedSpecimen,urn:uuid:d075282d-5d1d-4e38-ac15-98b6eafa01d7,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,J.J. Thornber,2/28/03,,,,,,J. J. Thornber,,5488,2/28/03,,1903,3,28,59,,"February,28,1903",,,,,,,,,,herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=urn:uuid:181010f6-08e9-44f1-8c16-df4c240e4c9a | herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=urn:uuid:efd5c8a1-218b-4ebd-8a1a-a63d37695055,,,,,,,,,,,,,,,,United States,Arizona,Pima County,,"Tucson Mountains, Tucson",,,,32.2301,-111.0982,,10000,,,,,,,,,,,,,,,,11/7/13 11:43,45834,2,0e37e5fe-fcd9-442a-afd0-2fedbf4c9087,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563928
850433,ARIZ,,,PreservedSpecimen,urn:uuid:6254a168-77c3-4aeb-a475-c08cfd78923b,378497,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,Jennifer Katcher,2/23/05,,,,,,Jennifer Katcher,Brad Fiero,2-May,2/23/05,,2005,3,23,54,,"February,23,2005",,disturbed desert upland - on hill slope,,tiny white flowers,,,,,,,,ecologicallyOccursWith: mesquite|ecologicallyOccursWith: palo verde|ecologicallyOccursWith: triangle leaf bursage,Reproductive,,,,,,,,,,,,,United States,Arizona,Pima County,,"Pima Community College, West Campus",,,,32.227934,-111.013723,,,UTM: 12S 498707 3565701,,,,,,670,,,,,2200 - 2500 ft.,,,Jennifer,9/1/15 16:06,178371,2,97e046f3-2ddd-4ff4-9183-a3fd4ae1c850,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=850433
5563892,ARIZ,,,PreservedSpecimen,urn:uuid:395394e6-cbda-43a0-9944-5e26da8f1104,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,T. R. Van Devender,2/25/88,,,,,,T. R. Van Devender,,88-22,2/25/88,,1988,3,25,56,,"February,25,1988",,On rocky W-facing slope,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima County,,"Gates Pass, Tucson Mountains",,,,32.228,-111.1049,,5000,T14S R12E S10 10 SW1/4,,,,,,1005,,,,,3300 ft.,,,,11/7/13 11:43,45793,2,5de39ee5-20b8-4ecd-a2a2-36ae8fe2a494,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563892
2092545,ASC,,,PreservedSpecimen,7679c371-2575-4983-a4e4-c4911da99162,ASC00050386,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,J. Gish,,59,2/18/79,,1979,2,18,49,,,,Paloverde-Saguaro,,,,,,,,,,ecologicallyOccursWith: Ambrosia deltoidea|ecologicallyOccursWith: Encelia farinosa|ecologicallyOccursWith: Simmondsia|ecologicallyOccursWith: Fouquieria,flowers,,0,,,,,,,,,,,United States,Arizona,Pima,,"Saguaro Rd N side off Rte 86 W of Tucson; SW slope of Golden Gate Mountain; Voucher for Sonoran Desert surface pollen rain study, Plot G",,,,32.2283,-111.1058,,1250,T14S R12E S10 SW1/4,,,LL from TRS- 050106,,,853,,,,,2800ft.,,,Karen,7/16/23 7:02,48328,3,7679c371-2575-4983-a4e4-c4911da99162,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2092545
25110213,GreaterGood,,,HumanObservation,7331250d-03ca-4a42-bb86-eb7f18d8d660,mde-43899,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,T.R. Van Devender,"C.D. Bertelsen, R.J. Rondeau",,5/21/89,,1989,5,21,141,,21-May-89,Summary of many hikes.,Rocky canyon; Sonoran desertscrub.,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima,,"King Canyon, W of Tucson, Tucson Mountains.",,,,32.25556,-111.16583,,,32° 15m 20s 111° 9m 57s,,,,,,901,,,,,,,,,7/16/23 7:02,,274,7331250d-03ca-4a42-bb86-eb7f18d8d660,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=25110213
707832,ASU,Plants,,PreservedSpecimen,e887e0ee-6e99-47e3-9482-a0cc403888a0,,249734,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,Jodi Basher,Greg Peterson,3,3/16/04,,2004,3,16,76,,,,Upland sonora,,,,,,,,,,ecologicallyOccursWith: Carnegia gigantea,flowers & fruit,,0,,,,,,,,,,,USA,Arizona,Pima County,,"Tucson, AZ; Interstate 10 west to Cortaro Road right (W) to Silverbell right (N) to Scenic Drive left (S) to 8925 north Scenic Drive",,0,,32.3691,-111.141,,,,,,,,,661,,,,,2167ft,,,roisan,7/16/23 7:02,76212,1,e887e0ee-6e99-47e3-9482-a0cc403888a0,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=707832
