Name,Description,mean_monthly_ppt_mm_2013_2023,mean_total_seasonal_ppt_mm_2013_2023,mean_temp_C_2013_2023,mean_maxvpd_hPA_2013_2023,mean_ppt_mm_2004_2014,mean_temp_C_2004_2014,delta_temp_C,delta_total_ppt_mm,notes
pop_01,tumamoc hill,19.89667,119.38,15.64629444,24.60583,89,13.32,2.326294444,30.38,
pop_03,Ironwood NM,21.33177,127.9906,16.24722222,23.39683,111,13.98,2.267222222,16.9906,
pop_04,Green Valley 1,18.99497,113.9698,14.59444444,24.30767,87,12.84,1.754444444,26.9698,
pop_05,Sonoran Desert NM,17.55987,105.3592,14.15370556,23.744,98,13.36,0.793705556,7.3592,
pop_06,Organ Pipe NM,18.99497,113.9698,15.68888889,24.8035,100,14.26,1.428888889,13.9698,
pop_07,Sells,19.4691,116.8146,15.43518333,24.62733,118,13.26,2.175183333,-1.1854,
pop_08,Red Rock,21.67043,130.0226,15.60740556,24.9705,97,13.98,1.627405556,33.0226,
pop_09,Wikieup,21.23863,127.4318,13.53148333,23.14317,238,12.4,1.131483333,-110.5682,
pop_10,Needles,11.4046,68.4276,17.05370556,25.195,96,14.62,2.433705556,-27.5724,consistently hot/dry & drying
pop_11,Turtle Mountains,12.11157,72.6694,15.81203889,24.62883,67,14.04,1.772038889,5.6694,consistently dry
pop_12,Tonto NF,31.46213,188.7728,14.62777778,20.37833,241,12.54,2.087777778,-52.2272,
pop_13,Lake Pleasant,27.1145,162.687,16.14073889,23.609,265,14.26,1.880738889,-102.313,
pop_14,Bagdad,27.7114,166.2684,14.18703889,20.71733,179,12.46,1.727038889,-12.7316,
pop_15,Green Valley 2,18.99497,113.9698,14.59444444,24.30767,84,12.86,1.734444444,29.9698,
pop_16,Portal,20.1676,121.0056,10.95,19.4205,52,9.48,1.47,69.0056,